name,currency,TER,ISIN,url
UBS (CH) Strategy Fund - Balanced Sustainable (USD) P,USD,1.72,CH0002792189,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11474
UBS (CH) Equity Fund - Small Caps Switzerland (CHF) P,CHF,1.8,CH0004311335,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11511
UBS (CH) Equity Fund - Swiss Income (CHF) P,CHF,1.5,CH0017043958,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/8024
UBS (CH) Vitainvest - World 25 Sustainable U,CHF,1.36,CH0022476466,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23167
UBS (CH) Vitainvest - World 50 Sustainable U,CHF,1.56,CH0022476508,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/23169
UBS (CH) Vitainvest - Swiss 25 Sustainable U,CHF,1.33,CH0108526911,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/667
UBS (CH) Vitainvest - Swiss 50 Sustainable U,CHF,1.48,CH0108526986,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/668
UBS (CH) Suisse - 25 (CHF) P-dist,CHF,1.35,CH0109738986,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/33771
UBS (CH) Suisse - 45 (CHF) P-dist,CHF,1.5,CH0109738994,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/33772
UBS (CH) Suisse - 65 (CHF) P-dist,CHF,1.65,CH0109739000,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/36566
UBS (CH) Equity Fund - Swiss High Dividend (CHF) P,CHF,1.5,CH0127276381,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/37379
UBS (CH) Equity Fund - Emerging Asia (USD) (CHF hedged) P,CHF,2.41,CH0186920168,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11493
UBS (CH) Vitainvest - World 75 Sustainable U,CHF,1.67,CH0293174600,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/57941
UBS (CH) Vitainvest - Swiss 75 Sustainable U,CHF,1.58,CH0293175037,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/57942
UBS (CH) Investment Fund - Bonds CHF Ausland Passive W,CHF,0.18,CH0356496221,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75495
UBS (CH) Investment Fund - Bonds CHF Inland Medium Term Passive W,CHF,0.19,CH0356496544,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75608
UBS (CH) Investment Fund - Bonds CHF Inland Passive W,CHF,0.18,CH0356496650,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75496
UBS (CH) Investment Fund - Equities Europe Passive W,CHF,0.25,CH0356496742,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75497
UBS (CH) Investment Fund - Equities Global Passive W,CHF,0.25,CH0356507415,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75498
UBS (CH) Investment Fund - Equities Japan Passive W,CHF,0.26,CH0356548021,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75499
UBS (CH) Investment Fund - Equities USA Passive W,CHF,0.22,CH0356550415,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/75502
