"SourceFile","GPSLatitude","GPSLongitude","DateTimeOriginal","country"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210117_152405.jpg",46.2325599722222,6.14125897222222,"2021:01:17 11:40:34","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210118_134808.jpg",46.209198,6.16773697222222,"2021:01:18 13:48:09","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210118_135124.jpg",46.208347,6.16958697222222,"2021:01:18 13:51:25","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210118_140613.jpg",46.2073999722222,6.164245,"2021:01:18 14:06:14","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210118_144934.jpg",46.2189019722222,6.152249,"2021:01:18 14:30:06","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210213_115715.jpg",46.2246069722222,6.14616997222222,"2021:02:13 11:57:16","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210213_115938.jpg",46.224668,6.14641,"2021:02:13 11:59:39","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210214_174324.jpg",46.225762,6.14667197222222,"2021:02:14 15:26:26","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210216_131927.jpg",46.2257519722222,6.149066,"2021:02:16 12:23:43","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210217_085809.jpg",46.2182999722222,6.15216897222222,"2021:02:17 08:58:10","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210217_090120.jpg",46.2204639722222,6.15324197222222,"2021:02:17 09:01:21","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210217_090753.jpg",46.2242999722222,6.150755,"2021:02:17 09:07:54","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210217_161721.jpg",46.225762,6.14667197222222,"2021:02:14 15:26:26","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210217_162935.jpg",46.225768,6.146747,"2021:02:17 13:39:39","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210218_215652.jpg",46.220894,6.14868697222222,"2021:02:18 21:50:03","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210219_100234.jpg",46.2210719722222,6.14909497222222,"2021:02:19 10:01:47","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210219_195217.jpg",46.2210549722222,6.14833197222222,"2021:02:19 19:50:21","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210220_210952.jpg",46.220956,6.148328,"2021:02:20 21:09:22","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_122725.jpg",46.4309409722222,6.908845,"2021:02:21 12:27:26","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_132749.jpg",46.4609639722222,6.941302,"2021:02:21 13:27:50","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_204735.jpg",46.4501569722222,6.92225397222222,"2021:02:21 14:14:29","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_204944.jpg",46.502566,6.686275,"2021:02:21 11:09:24","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_205041.jpg",46.431159,6.91041097222222,"2021:02:21 12:33:52","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_205140.jpg",46.4589709722222,6.940252,"2021:02:21 13:33:28","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_205330.jpg",46.5016159722222,6.68421297222222,"2021:02:21 11:23:46","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210221_213028.jpg",46.428922,6.911844,"2021:02:21 12:18:01","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210222_091109.jpg",46.419074,6.925791,"2021:02:21 17:04:27","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210303_215257.jpg",46.2209369722222,6.148621,"2021:03:03 21:52:07","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210310_202413.jpg",46.2210409722222,6.148524,"2021:03:10 20:23:48","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210310_202757.jpg",46.220967,6.14844597222222,"2021:03:10 20:26:51","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_143835.jpg",46.4742829722222,6.82108,"2021:03:20 10:47:56","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_144019.jpg",46.4581569722222,6.88937897222222,"2021:03:20 10:58:10","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_144338.jpg",46.4345399722222,6.946714,"2021:03:20 12:13:24","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_144803.jpg",46.4359359722222,6.94737297222222,"2021:03:20 12:16:15","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_144920.jpg",46.4378049722222,6.955465,"2021:03:20 12:25:59","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_145157.jpg",46.4350689722222,6.955421,"2021:03:20 12:50:34","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_145231.jpg",46.435065,6.95542,"2021:03:20 12:50:39","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_191343.jpg",46.439785,6.97027397222222,"2021:03:20 12:56:14","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_210226.jpg",46.4320239722222,6.978722,"2021:03:20 14:18:21","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_212826.jpg",46.431893,6.978911,"2021:03:20 13:14:08","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_213255.jpg",46.434176,6.92522197222222,"2021:03:20 16:22:15","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_214046.jpg",46.438476,6.974863,"2021:03:20 13:02:11","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_215027.jpg",46.4314729722222,6.97889697222222,"2021:03:20 14:29:27","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20210320_215047.jpg",46.4415499722222,6.977036,"2021:03:20 12:59:37","Switzerland"
